id_player,id_team,round,position,cartola_price,cartola_score,cartola_price_update,cartola_score_mean,goal_assistance,scored_goals,saved_kicks,wrong_kicks,crossbar_kicks,wrong_passes,missed_penalties,stolen_ball,difficult_gk_saves,gk_penalty_saves,conceded_goals
109463,282,21,ata,0.99,0.0,0.0,1.0,,,3.0,2.0,,22.0,,2.0,,,
109626,263,21,ata,1.16,0.4,-0.37,1.1,,,2.0,1.0,,20.0,,6.0,,,
105585,264,21,mei,0.78,-4.0,-0.67,-1.77,,,,1.0,,6.0,,1.0,,,
42116,275,21,ata,9.82,1.0,0.09,2.94,2.0,4.0,5.0,12.0,,34.0,1.0,6.0,,,
101573,262,21,mei,1.53,0.0,0.0,-0.2,,,,,,2.0,,,,,
100977,267,21,ata,2.69,0.0,0.0,2.02,1.0,1.0,,3.0,,23.0,,5.0,,,
107112,294,21,ata,1.84,0.5,0.36,1.23,,1.0,1.0,1.0,,6.0,,1.0,,,
104050,267,21,zag,3.72,11.5,2.05,3.3,,,,,,15.0,,11.0,,,
38545,275,21,zag,7.76,0.0,0.0,3.73,,,,1.0,,35.0,,24.0,,,
93988,275,21,ata,3.43,-1.0,-1.57,-1.0,,,,,,,,,,,
100652,285,21,ata,2.44,1.1,-0.95,2.21,,2.0,4.0,1.0,,11.0,,1.0,,,
90428,267,21,zag,5.15,6.0,2.15,6.0,,,,,,,,1.0,,,
94138,354,21,ata,5.27,-0.1,-0.45,0.3,,,1.0,,,1.0,,,,,
101483,284,21,ata,5.09,0.0,0.0,2.53,1.0,2.0,8.0,13.0,,50.0,,11.0,,,
70666,264,21,zag,5.04,0.7,0.08,2.76,,,1.0,,,9.0,,5.0,,,
95356,263,21,mei,5.31,0.0,0.0,0.96,,,2.0,1.0,,15.0,,10.0,,,
96055,294,21,mei,0.86,0.0,0.0,-0.31,,,1.0,5.0,,30.0,,10.0,,,
101580,277,21,mei,2.44,0.0,0.0,0.81,,,1.0,2.0,,16.0,,9.0,,,
93303,285,21,ata,6.42,1.2,0.26,1.92,1.0,,3.0,6.0,,22.0,,,,,
82564,277,21,zag,2.69,0.0,0.0,0.82,,,,2.0,,13.0,,6.0,,,
99440,373,21,mei,4.6,0.0,0.0,4.9,,,,1.0,,4.0,,5.0,,,
