id_team,id_opponent_team,round,week_day,date,has_won,was_draw,team_goals,opponent_team_goals,was_home_team,match_points,championship_score,championship_position
275,283,19,5,2019-09-14,True,False,1,0,True,3,39,2.0
315,267,19,5,2019-09-14,False,False,1,2,True,0,14,19.0
276,341,19,6,2019-09-15,False,True,1,1,True,1,32,6.0
265,356,19,6,2019-09-15,False,True,1,1,True,1,31,7.0
293,314,19,6,2019-09-15,False,False,0,1,True,0,26,11.0
266,264,19,6,2019-09-15,True,False,1,0,True,3,18,16.0
284,290,19,6,2019-09-15,True,False,3,0,True,3,28,8.0
282,285,19,6,2019-09-15,False,False,1,3,True,0,27,9.0
264,265,20,5,2019-09-21,True,False,2,1,True,3,35,5.0
283,262,20,5,2019-09-21,False,False,1,2,True,0,18,17.0
277,284,20,5,2019-09-21,False,False,0,3,True,0,37,3.0
263,276,20,5,2019-09-21,False,False,1,2,True,0,27,10.0
267,293,20,6,2019-09-22,False,True,1,1,True,1,24,13.0
341,354,20,6,2019-09-22,True,False,1,0,True,3,19,16.0
290,266,20,6,2019-09-22,True,False,3,0,True,3,24,12.0
285,315,20,6,2019-09-22,True,False,1,0,True,3,36,4.0
356,275,20,6,2019-09-22,False,False,0,1,True,0,22,14.0
314,282,20,0,2019-09-23,True,False,1,0,True,3,16,19.0
354,283,21,2,2019-09-25,False,True,0,0,True,1,23,14.0
265,263,21,2,2019-09-25,True,False,2,0,True,3,34,8.0
262,285,21,2,2019-09-25,True,False,3,1,True,3,48,1.0
276,290,21,2,2019-09-25,False,False,0,1,True,0,35,6.0
266,277,21,3,2019-09-26,False,True,1,1,True,1,19,17.0
293,356,21,3,2019-09-26,True,False,4,1,True,3,30,9.0
284,314,21,3,2019-09-26,True,False,6,1,True,3,34,7.0
275,341,21,3,2019-09-26,True,False,6,2,True,3,45,2.0
262,276,22,5,2019-09-28,False,True,0,0,True,1,49,1.0
293,315,22,6,2019-09-29,False,True,1,1,True,1,31,9.0
285,275,22,6,2019-09-29,False,True,1,1,True,1,37,5.0
282,354,22,6,2019-09-29,True,False,2,1,True,3,30,11.0
264,267,22,6,2019-09-29,True,False,1,0,True,3,41,4.0
266,284,22,6,2019-09-29,True,False,2,1,True,3,22,16.0
277,341,22,6,2019-09-29,True,False,2,0,True,3,41,3.0
314,265,22,0,2019-09-30,False,False,0,2,True,0,16,19.0
356,263,22,0,2019-09-30,True,False,1,0,True,3,25,14.0
290,283,22,0,2019-09-30,True,False,1,0,True,3,30,10.0
315,264,21,2,2019-10-02,False,False,0,1,True,0,14,20.0
282,267,21,2,2019-10-02,False,False,1,2,True,0,27,12.0
284,264,23,5,2019-10-05,False,True,0,0,True,1,35,8.0
283,285,23,5,2019-10-05,False,True,1,1,True,1,20,18.0
265,293,23,5,2019-10-05,False,False,1,2,True,0,37,7.0
267,277,23,5,2019-10-05,False,False,0,1,True,0,27,13.0
276,356,23,5,2019-10-05,True,False,2,1,True,3,39,5.0
275,282,23,6,2019-10-06,False,True,1,1,True,1,47,2.0
341,314,23,6,2019-10-06,True,False,3,1,True,3,22,17.0
315,262,23,6,2019-10-06,False,False,0,1,True,0,15,20.0
263,266,23,6,2019-10-06,False,False,0,1,True,0,27,12.0
354,290,23,6,2019-10-06,False,False,0,1,True,0,23,16.0
283,266,24,2,2019-10-09,False,True,0,0,True,1,21,18.0
265,276,24,2,2019-10-09,False,True,0,0,True,1,38,7.0
263,290,24,2,2019-10-09,True,False,3,1,True,3,30,12.0
341,285,24,2,2019-10-09,True,False,1,0,True,3,25,16.0
356,315,24,2,2019-10-09,True,False,2,0,True,3,28,14.0
284,354,24,2,2019-10-09,True,False,2,1,True,3,38,6.0
277,275,24,2,2019-10-09,True,False,2,0,True,3,47,3.0
264,293,24,3,2019-10-10,False,True,2,2,True,1,43,4.0
314,267,24,3,2019-10-10,False,True,0,0,True,1,17,19.0
262,282,24,3,2019-10-10,True,False,3,1,True,3,55,1.0
266,265,25,5,2019-10-12,True,False,2,0,True,3,29,14.0
290,341,25,5,2019-10-12,True,False,1,0,True,3,36,9.0
275,263,25,5,2019-10-12,True,False,1,0,True,3,50,2.0
315,283,25,6,2019-10-13,False,True,1,1,True,1,16,20.0
285,277,25,6,2019-10-13,False,True,0,0,True,1,39,7.0
354,314,25,6,2019-10-13,True,False,1,0,True,3,26,16.0
293,262,25,6,2019-10-13,False,False,0,2,True,0,35,10.0
282,284,25,6,2019-10-13,False,False,1,4,True,0,31,11.0
276,264,25,6,2019-10-13,True,False,1,0,True,3,43,5.0
267,356,25,6,2019-10-13,True,False,1,0,True,3,31,12.0
341,282,26,2,2019-10-16,False,True,2,2,True,1,26,16.0
290,264,26,2,2019-10-16,False,True,2,2,True,1,37,10.0
284,265,26,2,2019-10-16,False,False,0,1,True,0,41,7.0
283,276,26,2,2019-10-16,True,False,1,0,True,3,25,18.0
356,262,26,2,2019-10-16,False,False,1,2,True,0,28,15.0
275,315,26,2,2019-10-16,True,False,1,0,True,3,53,2.0
267,263,26,2,2019-10-16,True,False,2,1,True,3,34,11.0
266,293,26,3,2019-10-17,False,False,1,2,True,0,29,14.0
314,285,26,3,2019-10-17,False,False,0,2,True,0,17,19.0
277,354,26,3,2019-10-17,True,False,2,1,True,3,51,3.0
264,283,27,5,2019-10-19,False,False,1,2,True,0,44,5.0
356,284,27,5,2019-10-19,True,False,2,1,True,3,31,14.0
315,290,27,6,2019-10-20,False,True,2,2,True,1,17,20.0
293,275,27,6,2019-10-20,False,True,1,1,True,1,39,9.0
282,277,27,6,2019-10-20,True,False,2,0,True,3,35,12.0
262,266,27,6,2019-10-20,True,False,2,0,True,3,64,1.0
276,314,27,6,2019-10-20,True,False,1,0,True,3,46,4.0
285,267,27,6,2019-10-20,False,False,0,1,True,0,42,6.0
263,341,27,0,2019-10-21,True,False,2,1,True,3,33,13.0
265,354,27,0,2019-10-21,False,False,1,2,True,0,41,7.0
266,315,28,5,2019-10-26,False,True,1,1,True,1,30,15.0
283,356,28,5,2019-10-26,False,True,1,1,True,1,29,17.0
264,277,28,5,2019-10-26,False,True,0,0,True,1,45,6.0
354,267,28,5,2019-10-26,False,True,1,1,True,1,30,16.0
265,285,28,5,2019-10-26,False,False,2,3,True,0,41,9.0
293,290,28,6,2019-10-27,True,False,4,1,True,3,42,8.0
262,341,28,6,2019-10-27,True,False,1,0,True,3,67,1.0
284,263,28,6,2019-10-27,True,False,3,0,True,3,44,7.0
314,275,28,6,2019-10-27,False,False,1,2,True,0,17,20.0
276,282,28,6,2019-10-27,True,False,2,0,True,3,49,4.0
354,266,29,2,2019-10-30,True,False,2,0,True,3,33,14.0
282,315,29,2,2019-10-30,False,False,0,2,True,0,35,13.0
341,264,29,2,2019-10-30,True,False,2,1,True,3,29,18.0
314,356,29,2,2019-10-30,False,False,1,3,True,0,17,20.0
267,284,29,2,2019-10-30,False,False,1,3,True,0,38,11.0
275,276,29,2,2019-10-30,True,False,3,0,True,3,60,2.0
285,293,29,3,2019-10-31,False,True,1,1,True,1,46,6.0
290,262,29,3,2019-10-31,False,True,2,2,True,1,39,10.0
263,283,29,3,2019-10-31,False,False,0,2,True,0,33,15.0
277,265,29,3,2019-10-31,True,False,1,0,True,3,55,3.0
356,282,30,5,2019-11-02,False,True,2,2,True,1,36,12.0
266,267,30,5,2019-11-02,False,True,0,0,True,1,31,17.0
275,354,30,5,2019-11-02,True,False,1,0,True,3,63,2.0
315,276,30,5,2019-11-02,False,False,0,3,True,0,21,19.0
283,265,30,6,2019-11-03,False,True,1,1,True,1,33,15.0
293,341,30,6,2019-11-03,True,False,1,0,True,3,46,7.0
262,264,30,6,2019-11-03,True,False,4,1,True,3,71,1.0
290,314,30,6,2019-11-03,True,False,2,0,True,3,42,9.0
284,285,30,6,2019-11-03,True,False,2,0,True,3,50,5.0
277,263,30,6,2019-11-03,True,False,4,1,True,3,58,3.0
265,315,31,2,2019-11-06,False,True,1,1,True,1,43,9.0
293,283,31,2,2019-11-06,False,True,0,0,True,1,47,7.0
282,290,31,2,2019-11-06,True,False,2,0,True,3,39,12.0
264,356,31,2,2019-11-06,True,False,3,2,True,3,48,6.0
267,275,31,2,2019-11-06,False,False,1,2,True,0,39,11.0
314,277,31,2,2019-11-06,False,False,1,2,True,0,17,20.0
354,285,31,3,2019-11-07,True,False,2,0,True,3,36,13.0
263,262,31,3,2019-11-07,False,False,0,1,True,0,33,17.0
276,266,31,3,2019-11-07,False,False,0,2,True,0,52,5.0
284,341,31,3,2019-11-07,True,False,2,1,True,3,53,4.0
275,264,32,5,2019-11-09,False,True,1,1,True,1,67,2.0
